t,x1,x2,x3
4.1700000000,-8.6474321385,-6.7070351006,29.5402982184
4.1800000000,-8.4534688359,-6.5184135524,29.3207118177
4.1900000000,-8.2611600636,-6.3535948760,29.0797167064
4.2000000000,-8.0726386606,-6.2130327237,28.8206585168
4.2100000000,-7.8898591540,-6.0968082368,28.5467916309
4.2200000000,-7.7145823426,-6.0046935850,28.2612378024
4.2300000000,-7.5483673940,-5.9362149497,27.9669586488
4.2400000000,-7.3925705409,-5.8907121007,27.6667402614
4.2500000000,-7.2483493205,-5.8673925050,27.3631879232
4.2600000000,-7.1166712382,-5.8653786198,27.0587288636
4.2700000000,-6.9983257461,-5.8837476468,26.7556210787
4.2800000000,-6.8939384887,-5.9215635234,26.4559664345
4.2900000000,-6.8039868681,-5.9779013023,26.1617265204
4.3000000000,-6.7288160945,-6.0518643336,25.8747399812
4.3100000000,-6.6686550199,-6.1425948267,25.5967403046
4.3200000000,-6.6236311761,-6.2492784496,25.3293732680
4.3300000000,-6.5937845582,-6.3711436462,25.0742134295
4.3400000000,-6.5790798037,-6.5074563308,24.8327791923
4.3500000000,-6.5794165077,-6.6575105706,24.6065460720
4.3600000000,-6.5946374992,-6.8206158085,24.3969578611
4.3700000000,-6.6245349664,-6.9960811191,24.2054354119
4.3800000000,-6.6688543756,-7.1831969369,24.0333827654
4.3900000000,-6.7272961718,-7.3812146645,23.8821903310
4.4000000000,-6.7995152914,-7.5893245527,23.7532347924
4.4100000000,-6.8851185477,-7.8066322633,23.6478753740
4.4200000000,-6.9836599911,-8.0321345704,23.5674460615
4.4300000000,-7.0946343763,-8.2646947393,23.5132433441
4.4400000000,-7.2174689199,-8.5030182367,23.4865090321
4.4500000000,-7.3515135782,-8.7456295812,23.4884077264
4.4600000000,-7.4960301420,-8.9908513229,23.5199985808
4.4700000000,-7.6501805186,-9.2367863473,23.5822011184
4.4800000000,-7.8130146631,-9.4813049174,23.6757550600
4.4900000000,-7.9834587181,-9.7220380718,23.8011743989
4.5000000000,-8.1603040337,-9.9563791756,23.9586963320
4.5100000000,-8.3421978512,-10.1814955231,24.1482261299
4.5200000000,-8.5276365407,-10.3943518903,24.3692795962
4.5300000000,-8.7149623733,-10.5917477831,24.6209254068
4.5400000000,-8.9023648661,-10.7703697680,24.9017302985
4.5500000000,-9.0878877438,-10.9268596882,25.2097107371
4.5600000000,-9.2694425001,-11.0578987079,25.5422952525
4.5700000000,-9.4448293897,-11.1603060145,25.8963019975
4.5800000000,-9.6117664284,-11.2311496667,26.2679361430
4.5900000000,-9.7679266145,-11.2678655877,26.6528113779
4.6000000000,-9.9109831081,-11.2683792045,27.0459989347
4.6100000000,-10.0386615430,-11.2312228920,27.4421061813
4.6200000000,-10.1487980197,-11.1556414091,27.8353849247
4.6300000000,-10.2394007003,-11.0416771164,28.2198672677
4.6400000000,-10.3087123512,-10.8902271212,28.5895243461
4.6500000000,-10.3552707391,-10.7030657091,28.9384408118
4.6600000000,-10.3779635392,-10.4828274931,29.2609958505
